Day, Class, Milestone, Changes
09/09/2016, infraestructura-virtual/IV16-17, 0, 1

09/25/2016, infraestructura-virtual/IV16-17, 0, 4

09/26/2016, infraestructura-virtual/IV16-17, 0, 5

09/27/2016, infraestructura-virtual/IV16-17, 0, 4

09/28/2016, infraestructura-virtual/IV16-17, 0, 21

09/29/2016, infraestructura-virtual/IV16-17, 1, 1

09/29/2016, infraestructura-virtual/IV16-17, 0, 66

09/30/2016, infraestructura-virtual/IV16-17, 0, 5

09/30/2016, infraestructura-virtual/IV16-17, 1, 4

10/01/2016, infraestructura-virtual/IV16-17, 0, 3

10/02/2016, infraestructura-virtual/IV16-17, 0, 1

10/03/2016, infraestructura-virtual/IV16-17, 0, 2

10/04/2016, infraestructura-virtual/IV16-17, 1, 1

10/04/2016, infraestructura-virtual/IV16-17, 0, 3

10/05/2016, infraestructura-virtual/IV16-17, 0, 16

10/05/2016, infraestructura-virtual/IV16-17, 1, 17

10/06/2016, infraestructura-virtual/IV16-17, 0, 21

10/06/2016, infraestructura-virtual/IV16-17, 1, 95

10/07/2016, infraestructura-virtual/IV16-17, 1, 5

10/07/2016, infraestructura-virtual/IV16-17, 0, 2

10/08/2016, infraestructura-virtual/IV16-17, 0, 4

10/08/2016, infraestructura-virtual/IV16-17, 1, 3

10/09/2016, infraestructura-virtual/IV16-17, 1, 2

10/09/2016, infraestructura-virtual/IV16-17, 0, 3

10/10/2016, infraestructura-virtual/IV16-17, 1, 1

10/10/2016, infraestructura-virtual/IV16-17, 0, 1

10/11/2016, infraestructura-virtual/IV16-17, 1, 1

10/12/2016, infraestructura-virtual/IV16-17, 0, 1

10/12/2016, infraestructura-virtual/IV16-17, 2, 1

10/12/2016, infraestructura-virtual/IV16-17, 1, 3

10/13/2016, infraestructura-virtual/IV16-17, 1, 24

10/13/2016, infraestructura-virtual/IV16-17, 0, 2

10/14/2016, infraestructura-virtual/IV16-17, 0, 4

