Day, Class, Milestone, Changes
10/14/2016, infraestructura-virtual/IV16-17, 1, 17

10/17/2016, infraestructura-virtual/IV16-17, 1, 2

10/18/2016, infraestructura-virtual/IV16-17, 1, 1

10/19/2016, infraestructura-virtual/IV16-17, 0, 1

10/19/2016, infraestructura-virtual/IV16-17, 1, 9

10/20/2016, infraestructura-virtual/IV16-17, 0, 4

10/20/2016, infraestructura-virtual/IV16-17, 1, 6

10/20/2016, infraestructura-virtual/IV16-17, 2, 1

10/22/2016, infraestructura-virtual/IV16-17, 1, 1

10/23/2016, infraestructura-virtual/IV16-17, 1, 1

10/23/2016, infraestructura-virtual/IV16-17, 2, 1

10/23/2016, infraestructura-virtual/IV16-17, 0, 1

10/26/2016, infraestructura-virtual/IV16-17, 2, 11

10/27/2016, infraestructura-virtual/IV16-17, 0, 1

10/27/2016, infraestructura-virtual/IV16-17, 1, 2

10/27/2016, infraestructura-virtual/IV16-17, 2, 20

10/28/2016, infraestructura-virtual/IV16-17, 2, 3

10/29/2016, infraestructura-virtual/IV16-17, 2, 1

10/30/2016, infraestructura-virtual/IV16-17, 2, 2

10/31/2016, infraestructura-virtual/IV16-17, 2, 1

11/01/2016, infraestructura-virtual/IV16-17, 0, 1

11/02/2016, infraestructura-virtual/IV16-17, 1, 1

11/02/2016, infraestructura-virtual/IV16-17, 2, 1

11/09/2016, infraestructura-virtual/IV16-17, 2, 1

11/09/2016, infraestructura-virtual/IV16-17, 3, 10

11/10/2016, infraestructura-virtual/IV16-17, 2, 1

11/10/2016, infraestructura-virtual/IV16-17, 3, 18

11/11/2016, infraestructura-virtual/IV16-17, 3, 1

11/11/2016, infraestructura-virtual/IV16-17, 2, 4

11/13/2016, infraestructura-virtual/IV16-17, 3, 1

11/13/2016, infraestructura-virtual/IV16-17, 2, 1

11/14/2016, infraestructura-virtual/IV16-17, 3, 1

11/15/2016, infraestructura-virtual/IV16-17, 3, 6

11/15/2016, infraestructura-virtual/IV16-17, 2, 2

11/16/2016, infraestructura-virtual/IV16-17, 3, 1

11/17/2016, infraestructura-virtual/IV16-17, 3, 1

11/20/2016, infraestructura-virtual/IV16-17, 3, 3

11/21/2016, infraestructura-virtual/IV16-17, 3, 8

11/22/2016, infraestructura-virtual/IV16-17, 3, 2

11/23/2016, infraestructura-virtual/IV16-17, 3, 2

11/24/2016, infraestructura-virtual/IV16-17, 3, 5

11/27/2016, infraestructura-virtual/IV16-17, 2, 1

12/01/2016, infraestructura-virtual/IV16-17, 4, 21

12/02/2016, infraestructura-virtual/IV16-17, 4, 4

12/03/2016, infraestructura-virtual/IV16-17, 4, 3

12/04/2016, infraestructura-virtual/IV16-17, 4, 1

12/05/2016, infraestructura-virtual/IV16-17, 4, 2

12/07/2016, infraestructura-virtual/IV16-17, 4, 2

12/11/2016, infraestructura-virtual/IV16-17, 3, 1

12/13/2016, infraestructura-virtual/IV16-17, 4, 1

12/19/2016, infraestructura-virtual/IV16-17, 4, 1

12/21/2016, infraestructura-virtual/IV16-17, 4, 1

12/30/2016, infraestructura-virtual/IV16-17, 4, 1

01/07/2017, infraestructura-virtual/IV16-17, 1, 3

01/16/2017, infraestructura-virtual/IV16-17, 5, 1

01/25/2017, infraestructura-virtual/IV16-17, 5, 1

01/26/2017, infraestructura-virtual/IV16-17, 2, 1

01/26/2017, infraestructura-virtual/IV16-17, 5, 2

01/26/2017, infraestructura-virtual/IV16-17, 1, 1

01/26/2017, infraestructura-virtual/IV16-17, 3, 1

01/27/2017, infraestructura-virtual/IV16-17, 4, 3

01/28/2017, infraestructura-virtual/IV16-17, 5, 6

01/29/2017, infraestructura-virtual/IV16-17, 5, 21

01/30/2017, infraestructura-virtual/IV16-17, 5, 19

01/31/2017, infraestructura-virtual/IV16-17, 5, 2

09/11/2017, infraestructura-virtual/IV-17-18, hito-0, 3

09/14/2017, infraestructura-virtual/IV-17-18, hito-0, 1

09/18/2017, infraestructura-virtual/IV-17-18, hito-0, 4

09/18/2017, infraestructura-virtual/IV-17-18, hito-1, 1

09/19/2017, infraestructura-virtual/IV-17-18, hito-0, 11

09/20/2017, infraestructura-virtual/IV-17-18, hito-0, 20

09/21/2017, infraestructura-virtual/IV-17-18, hito-0, 51

09/22/2017, infraestructura-virtual/IV-17-18, hito-1, 1

09/22/2017, infraestructura-virtual/IV-17-18, hito-0, 7

09/23/2017, infraestructura-virtual/IV-17-18, hito-0, 1

09/25/2017, infraestructura-virtual/IV-17-18, hito-1, 10

09/26/2017, infraestructura-virtual/IV-17-18, hito-0, 2

09/26/2017, infraestructura-virtual/IV-17-18, hito-1, 5

09/27/2017, infraestructura-virtual/IV-17-18, hito-0, 2

09/27/2017, infraestructura-virtual/IV-17-18, hito-1, 23

09/28/2017, infraestructura-virtual/IV-17-18, hito-0, 1

09/28/2017, infraestructura-virtual/IV-17-18, hito-1, 87

09/29/2017, infraestructura-virtual/IV-17-18, hito-1, 13

09/29/2017, infraestructura-virtual/IV-17-18, hito-2, 1

09/29/2017, infraestructura-virtual/IV-17-18, hito-0, 2

09/30/2017, infraestructura-virtual/IV-17-18, hito-1, 1

10/01/2017, infraestructura-virtual/IV-17-18, hito-0, 1

10/01/2017, infraestructura-virtual/IV-17-18, hito-2, 2

10/03/2017, infraestructura-virtual/IV-17-18, hito-2, 2

10/05/2017, infraestructura-virtual/IV-17-18, hito-1, 3

10/08/2017, infraestructura-virtual/IV-17-18, hito-2, 1

10/09/2017, infraestructura-virtual/IV-17-18, hito-2, 2

10/10/2017, infraestructura-virtual/IV-17-18, hito-2, 1

10/12/2017, infraestructura-virtual/IV-17-18, hito-2, 7

10/13/2017, infraestructura-virtual/IV-17-18, hito-2, 5

10/14/2017, infraestructura-virtual/IV-17-18, hito-2, 1

10/15/2017, infraestructura-virtual/IV-17-18, hito-2, 12

10/16/2017, infraestructura-virtual/IV-17-18, hito-2, 13

10/17/2017, infraestructura-virtual/IV-17-18, hito-2, 8

10/19/2017, infraestructura-virtual/IV-17-18, hito-2, 1

10/19/2017, infraestructura-virtual/IV-17-18, hito-0, 6

10/23/2017, infraestructura-virtual/IV-17-18, hito-1, 7

10/24/2017, infraestructura-virtual/IV-17-18, hito-2, 3

10/30/2017, infraestructura-virtual/IV-17-18, hito-3, 3

10/31/2017, infraestructura-virtual/IV-17-18, hito-3, 1

11/02/2017, infraestructura-virtual/IV-17-18, hito-3, 3

11/03/2017, infraestructura-virtual/IV-17-18, hito-3, 2

11/04/2017, infraestructura-virtual/IV-17-18, hito-3, 14

11/05/2017, infraestructura-virtual/IV-17-18, hito-3, 7

11/06/2017, infraestructura-virtual/IV-17-18, hito-3, 20

11/07/2017, infraestructura-virtual/IV-17-18, hito-3, 18

11/07/2017, infraestructura-virtual/IV-17-18, hito-2, 6

11/08/2017, infraestructura-virtual/IV-17-18, hito-3, 18

11/09/2017, infraestructura-virtual/IV-17-18, hito-3, 3

11/10/2017, infraestructura-virtual/IV-17-18, hito-3, 1

11/10/2017, infraestructura-virtual/IV-17-18, hito-2, 1

11/11/2017, infraestructura-virtual/IV-17-18, hito-3, 1

11/13/2017, infraestructura-virtual/IV-17-18, hito-4, 1

11/14/2017, infraestructura-virtual/IV-17-18, hito-3, 7

11/15/2017, infraestructura-virtual/IV-17-18, hito-4, 2

11/16/2017, infraestructura-virtual/IV-17-18, hito-4, 7

11/18/2017, infraestructura-virtual/IV-17-18, hito-4, 3

11/19/2017, infraestructura-virtual/IV-17-18, hito-4, 6

11/20/2017, infraestructura-virtual/IV-17-18, hito-4, 3

11/20/2017, infraestructura-virtual/IV-17-18, hito-2, 1

11/21/2017, infraestructura-virtual/IV-17-18, hito-3, 1

11/21/2017, infraestructura-virtual/IV-17-18, hito-2, 1

11/21/2017, infraestructura-virtual/IV-17-18, hito-4, 20

11/21/2017, infraestructura-virtual/IV-17-18, hito-1, 1

11/22/2017, infraestructura-virtual/IV-17-18, hito-3, 3

11/22/2017, infraestructura-virtual/IV-17-18, hito-4, 2

11/23/2017, infraestructura-virtual/IV-17-18, hito-4, 26

11/23/2017, infraestructura-virtual/IV-17-18, hito-3, 1

11/25/2017, infraestructura-virtual/IV-17-18, hito-4, 1

11/26/2017, infraestructura-virtual/IV-17-18, hito-4, 1

11/27/2017, infraestructura-virtual/IV-17-18, hito-4, 1

11/28/2017, infraestructura-virtual/IV-17-18, hito-4, 4

11/29/2017, infraestructura-virtual/IV-17-18, hito-4, 4

11/30/2017, infraestructura-virtual/IV-17-18, hito-4, 4

12/04/2017, infraestructura-virtual/IV-17-18, hito-4, 5

12/07/2017, infraestructura-virtual/IV-17-18, hito-5, 2

12/17/2017, infraestructura-virtual/IV-17-18, hito-5, 12

12/18/2017, infraestructura-virtual/IV-17-18, hito-5, 1

12/19/2017, infraestructura-virtual/IV-17-18, hito-5, 7

12/21/2017, infraestructura-virtual/IV-17-18, hito-5, 2

12/24/2017, infraestructura-virtual/IV-17-18, hito-5, 3

12/26/2017, infraestructura-virtual/IV-17-18, hito-5, 6

12/31/2017, infraestructura-virtual/IV-17-18, hito-5, 5

01/01/2018, infraestructura-virtual/IV-17-18, hito-5, 3

01/03/2018, infraestructura-virtual/IV-17-18, hito-5, 6

01/04/2018, infraestructura-virtual/IV-17-18, hito-5, 8

01/05/2018, infraestructura-virtual/IV-17-18, hito-4, 3

01/05/2018, infraestructura-virtual/IV-17-18, hito-5, 6

01/06/2018, infraestructura-virtual/IV-17-18, hito-5, 3

01/07/2018, infraestructura-virtual/IV-17-18, hito-5, 3

01/09/2018, infraestructura-virtual/IV-17-18, hito-5, 3

01/12/2018, infraestructura-virtual/IV-17-18, hito-5, 16

01/13/2018, infraestructura-virtual/IV-17-18, hito-5, 4

01/19/2018, infraestructura-virtual/IV-17-18, hito-5, 2

01/20/2018, infraestructura-virtual/IV-17-18, hito-5, 2

